==================================================
EXPERIMENT START
ID: EXP_EXIT_atr_trailing_1776411340
Dimension: EXIT_PROFILE
Variant: atr_trailing
==================================================

[BTCUSDT] Trades: 893 | WinRate: 0.0% | PF: 0.00 | Exp: -0.118%
[ETHUSDT] Trades: 724 | WinRate: 0.0% | PF: 0.00 | Exp: -0.143%
[XRPUSDT] Trades: 806 | WinRate: 0.0% | PF: 0.00 | Exp: -0.078%
[SOLUSDT] Trades: 528 | WinRate: 0.0% | PF: 0.00 | Exp: -0.031%
[DOGEUSDT] Trades: 687 | WinRate: 0.0% | PF: 0.00 | Exp: -0.118%
[ZECUSDT] Trades: 564 | WinRate: 0.0% | PF: 0.00 | Exp: -0.145%
[TAOUSDT] Trades: 167 | WinRate: 0.0% | PF: 0.00 | Exp: -0.100%
[SUIUSDT] Trades: 284 | WinRate: 0.0% | PF: 0.00 | Exp: -0.153%
[XAUUSDT] Trades: 81 | WinRate: 0.0% | PF: 0.00 | Exp: -0.099%
[XAGUSDT] Trades: 34 | WinRate: 0.0% | PF: 0.00 | Exp: -0.054%
[LINKUSDT] Trades: 567 | WinRate: 0.0% | PF: 0.00 | Exp: -0.068%
[LTCUSDT] Trades: 693 | WinRate: 0.0% | PF: 0.00 | Exp: -0.090%
[BNBUSDT] Trades: 783 | WinRate: 0.0% | PF: 0.00 | Exp: -0.109%
