==================================================
EXPERIMENT START
ID: EXP_EXIT_ema_trailing_1776411340
Dimension: EXIT_PROFILE
Variant: ema_trailing
==================================================

[BTCUSDT] Trades: 893 | WinRate: 0.0% | PF: 0.00 | Exp: -0.000%
[ETHUSDT] Trades: 724 | WinRate: 0.0% | PF: 0.00 | Exp: -0.008%
[XRPUSDT] Trades: 806 | WinRate: 0.0% | PF: 0.00 | Exp: -0.024%
[SOLUSDT] Trades: 528 | WinRate: 0.0% | PF: 0.00 | Exp: -0.149%
[DOGEUSDT] Trades: 687 | WinRate: 0.0% | PF: 0.00 | Exp: -0.038%
[ZECUSDT] Trades: 564 | WinRate: 0.0% | PF: 0.00 | Exp: -0.064%
[TAOUSDT] Trades: 167 | WinRate: 0.0% | PF: 0.00 | Exp: -0.108%
[SUIUSDT] Trades: 284 | WinRate: 0.0% | PF: 0.00 | Exp: -0.065%
[XAUUSDT] Trades: 81 | WinRate: 0.0% | PF: 0.00 | Exp: -0.053%
[XAGUSDT] Trades: 34 | WinRate: 0.0% | PF: 0.00 | Exp: -0.368%
[LINKUSDT] Trades: 567 | WinRate: 0.0% | PF: 0.00 | Exp: -0.119%
[LTCUSDT] Trades: 693 | WinRate: 0.0% | PF: 0.00 | Exp: -0.064%
[BNBUSDT] Trades: 783 | WinRate: 0.0% | PF: 0.00 | Exp: -0.021%
