==================================================
EXPERIMENT START
ID: EXP_EXIT_partial_1.5_3R_1776411340
Dimension: EXIT_PROFILE
Variant: partial_1.5_3R
==================================================

[BTCUSDT] Trades: 893 | WinRate: 38.1% | PF: 0.75 | Exp: -0.093%
[ETHUSDT] Trades: 724 | WinRate: 39.6% | PF: 0.80 | Exp: -0.090%
[XRPUSDT] Trades: 806 | WinRate: 45.2% | PF: 0.90 | Exp: -0.049%
[SOLUSDT] Trades: 528 | WinRate: 45.3% | PF: 0.95 | Exp: -0.030%
[DOGEUSDT] Trades: 687 | WinRate: 42.1% | PF: 1.01 | Exp: 0.003%
[ZECUSDT] Trades: 564 | WinRate: 43.6% | PF: 0.85 | Exp: -0.101%
[TAOUSDT] Trades: 167 | WinRate: 44.3% | PF: 0.83 | Exp: -0.146%
[SUIUSDT] Trades: 284 | WinRate: 42.3% | PF: 0.82 | Exp: -0.133%
[XAUUSDT] Trades: 81 | WinRate: 29.6% | PF: 0.39 | Exp: -0.126%
[XAGUSDT] Trades: 34 | WinRate: 61.8% | PF: 2.25 | Exp: 0.418%
[LINKUSDT] Trades: 567 | WinRate: 42.0% | PF: 0.92 | Exp: -0.052%
[LTCUSDT] Trades: 693 | WinRate: 42.1% | PF: 0.90 | Exp: -0.055%
[BNBUSDT] Trades: 783 | WinRate: 39.1% | PF: 0.69 | Exp: -0.138%
