==================================================
EXPERIMENT START
ID: EXP_MTF_soft_1776411340
Dimension: MTF_MODE
Variant: soft
==================================================

[BTCUSDT] Trades: 1634 | WinRate: 27.4% | PF: 1.11 | Exp: 0.047%
[ETHUSDT] Trades: 1257 | WinRate: 29.8% | PF: 1.20 | Exp: 0.107%
[XRPUSDT] Trades: 1279 | WinRate: 28.3% | PF: 1.10 | Exp: 0.061%
[SOLUSDT] Trades: 905 | WinRate: 28.7% | PF: 1.22 | Exp: 0.175%
[DOGEUSDT] Trades: 1118 | WinRate: 29.2% | PF: 1.28 | Exp: 0.194%
[ZECUSDT] Trades: 890 | WinRate: 25.2% | PF: 1.03 | Exp: 0.030%
[TAOUSDT] Trades: 281 | WinRate: 28.5% | PF: 1.17 | Exp: 0.187%
[SUIUSDT] Trades: 460 | WinRate: 24.6% | PF: 0.94 | Exp: -0.058%
[XAUUSDT] Trades: 160 | WinRate: 28.7% | PF: 1.46 | Exp: 0.096%
[XAGUSDT] Trades: 71 | WinRate: 42.3% | PF: 1.93 | Exp: 0.366%
[LINKUSDT] Trades: 926 | WinRate: 28.9% | PF: 1.23 | Exp: 0.186%
[LTCUSDT] Trades: 1150 | WinRate: 27.6% | PF: 1.14 | Exp: 0.092%
[BNBUSDT] Trades: 1373 | WinRate: 26.2% | PF: 1.03 | Exp: 0.013%
