==================================================
EXPERIMENT START
ID: EXP_STRAT_breakout_1776411340
Dimension: STRATEGY_TYPE
Variant: breakout
==================================================

[BTCUSDT] Trades: 1272 | WinRate: 27.0% | PF: 1.07 | Exp: 0.030%
[ETHUSDT] Trades: 1013 | WinRate: 30.1% | PF: 1.31 | Exp: 0.161%
[XRPUSDT] Trades: 1110 | WinRate: 27.9% | PF: 1.14 | Exp: 0.083%
[SOLUSDT] Trades: 712 | WinRate: 27.1% | PF: 1.15 | Exp: 0.116%
[DOGEUSDT] Trades: 869 | WinRate: 30.7% | PF: 1.30 | Exp: 0.199%
[ZECUSDT] Trades: 688 | WinRate: 27.0% | PF: 1.06 | Exp: 0.049%
[TAOUSDT] Trades: 180 | WinRate: 26.1% | PF: 1.12 | Exp: 0.119%
[SUIUSDT] Trades: 335 | WinRate: 28.4% | PF: 1.21 | Exp: 0.172%
[XAUUSDT] Trades: 92 | WinRate: 22.8% | PF: 0.57 | Exp: -0.119%
[XAGUSDT] Trades: 44 | WinRate: 40.9% | PF: 1.65 | Exp: 0.301%
[LINKUSDT] Trades: 696 | WinRate: 28.6% | PF: 1.16 | Exp: 0.117%
[LTCUSDT] Trades: 959 | WinRate: 26.5% | PF: 1.10 | Exp: 0.060%
[BNBUSDT] Trades: 1214 | WinRate: 26.4% | PF: 1.01 | Exp: 0.005%
